{ _tpgavdet   // Detalhe Tipo Gaveta
   *AZZERA*            =0
   DESCRIZIONE         =Detalhe Tipo Gaveta
   ALIAS               =
   OBBLIGATO           =False
   CLASSE              =
   MEMO                =1Código 1800Descrição 5250dima 1200dimp 1620des.Lat.Esq 2160des.Lat.Dir 1995L.Desenho Lat 1590cor laterais 1350desc.Lateral.Fundo 2070desc.Prof.Fundo 1965pos.Prof.Fundo 2370desc.Lat.Traseira 1920Altura Traseira 2220Pos.Alt.Traseira 2205Esp.Fundo 2280Esp.Traseira 1200Desesnho.Fre.Int 2115Cod.Fre.Int 3885Alt.Fre.Int. 1995Pos.Alt.Fre.Int. 1620Desc.Larg.Fre.Int 2115L.Minima permitida 1200L.Max Permitida 1200A.Vao Minimo 1200A.vao Maximo 1200DESENHO ADICIONAL 2415DESC DES ADD 2040P DES ADD 2115A DES ADD 1755PROF.fre.int 1980CORRETOR POS LATERAIS (SO GRAFICA) 4080posp traseira 1995pos des add a 1755par des add 1560desconto lateral para interno 3075desconto profondidade para interno 3705metaboxinterna 1845codigo da coluna 1 para formafacil 3570Coluna 37 - se 1, aplica 2 suportes frontais para a frente interna
   { 
      //            ,Descrição                             ,dima,dimp,des.Lat.Esq                      ,des.Lat.Dir                      ,L.D,cor laterais  ,desc.,des,pos,desc.,Altu,Pos.,Esp,Esp,D,C,Alt.,Pos.,Desc,L.,L.Max,A.,A.vao,D,D,P,A,PRO,CORRE,posp,p,p,des,des,m,codigo da colu
      GV-003_EB450  ,ANTARO EXTERNA BAIXA PROF.450         ,91  ,450 ,lat_esq_antaro_baixa.3ds         ,lat_dir_antaro_baixa.3ds         ,55 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,84  ,7   ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,     ,10  , , ,15 ,20 , ,GV-003_EB450
      GV-003_EB500  ,ANTARO EXTERNA BAIXA PROF.500         ,91  ,500 ,lat_esq_antaro_baixa.3ds         ,lat_dir_antaro_baixa.3ds         ,55 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,84  ,7   ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,     ,10  , , ,15 ,20 , ,GV-003_EB500
      GV-003_EX400  ,ANTARO EXTERNA EXTRA ALTA PROF.400    ,340 ,400 ,lat_esq_antaro_extra_alta.3ds    ,lat_dir_antaro_extra_alta.3ds    ,56 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,330 ,8   ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,     ,10  , , ,15 ,20 , ,GV-003_CM400
      GV-003_EX450  ,ANTARO EXTERNA EXTRA ALTA PROF.450    ,340 ,450 ,lat_esq_antaro_extra_alta.3ds    ,lat_dir_antaro_extra_alta.3ds    ,56 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,330 ,8   ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,     ,10  , , ,15 ,20 , ,GV-003_CM450
      GV-003_EX500  ,ANTARO EXTERNA EXTRA ALTA PROF.500    ,340 ,500 ,lat_esq_antaro_extra_alta.3ds    ,lat_dir_antaro_extra_alta.3ds    ,56 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,330 ,8   ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,     ,10  , , ,15 ,20 , ,GV-003_CM500
      GV-003_IA400  ,ANTARO INTERNA ALTA PROF.400          ,210 ,400 ,lat_esq_antaro_alta.3ds          ,lat_dir_antaro_alta.3ds          ,56 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,199 ,8   ,15 ,15 , , ,225 ,    ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,     ,10  , , ,15 ,20 , ,GV-003_CM400
      GV-003_IA450  ,ANTARO INTERNA ALTA PROF.450          ,210 ,450 ,lat_esq_antaro_alta.3ds          ,lat_dir_antaro_alta.3ds          ,56 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,199 ,8   ,15 ,15 , , ,225 ,    ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,     ,10  , , ,15 ,20 , ,GV-003_CM450
      GV-003_IA500  ,ANTARO INTERNA ALTA PROF.500          ,210 ,500 ,lat_esq_antaro_alta.3ds          ,lat_dir_antaro_alta.3ds          ,56 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,199 ,8   ,15 ,15 , , ,225 ,    ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,     ,10  , , ,15 ,20 , ,GV-003_CM500
      GV-003_IB400  ,ANTARO INTERNA BAIXA PROF.400         ,91  ,400 ,lat_esq_antaro_baixa.3ds         ,lat_dir_antaro_baixa.3ds         ,56 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,84  ,7   ,15 ,15 , , ,98  ,    ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,     ,10  , , ,15 ,20 , ,GV-003_IB400
      GV-003_IB450  ,ANTARO INTERNA BAIXA PROF.450         ,91  ,450 ,lat_esq_antaro_baixa.3ds         ,lat_dir_antaro_baixa.3ds         ,56 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,84  ,7   ,15 ,15 , , ,98  ,    ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,     ,10  , , ,15 ,20 , ,GV-003_IB450
      GV-003_IB500  ,ANTARO INTERNA BAIXA PROF.500         ,91  ,500 ,lat_esq_antaro_baixa.3ds         ,lat_dir_antaro_baixa.3ds         ,56 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,84  ,7   ,15 ,15 , , ,98  ,    ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,     ,10  , , ,15 ,20 , ,GV-003_IB500
      GV-004_CA270  ,METABOX CUBA ALTA PROF.270            ,206 ,270 ,lat_esq_metabox_alta.3ds         ,lat_dir_metabox_alta.3ds         ,24 ,$(_corblum:3) ,10   ,15 ,15 ,15   ,206 ,4   ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,4   , , ,15 ,20 , ,GV-004_CA270
      GV-004_CA350  ,METABOX CUBA ALTA PROF.350            ,206 ,350 ,lat_esq_metabox_alta.3ds         ,lat_dir_metabox_alta.3ds         ,24 ,$(_corblum:3) ,10   ,15 ,15 ,15   ,206 ,4   ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,4   , , ,15 ,20 , ,GV-004_CA350
      GV-004_CA400  ,METABOX CUBA ALTA PROF.400            ,206 ,400 ,lat_esq_metabox_alta.3ds         ,lat_dir_metabox_alta.3ds         ,24 ,$(_corblum:3) ,10   ,15 ,15 ,15   ,206 ,4   ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,4   , , ,15 ,20 , ,GV-004_CA400
      GV-004_CA450  ,METABOX CUBA ALTA PROF.450            ,206 ,450 ,lat_esq_metabox_alta.3ds         ,lat_dir_metabox_alta.3ds         ,24 ,$(_corblum:3) ,10   ,15 ,15 ,15   ,206 ,4   ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,4   , , ,15 ,20 , ,GV-004_CA450
      GV-004_CA500  ,METABOX CUBA ALTA PROF.500            ,206 ,500 ,lat_esq_metabox_alta.3ds         ,lat_dir_metabox_alta.3ds         ,24 ,$(_corblum:3) ,10   ,15 ,15 ,15   ,206 ,4   ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,4   , , ,15 ,20 , ,GV-004_CA500
      GV-004_CAI270 ,METABOX CUBA ALTA INTERNA PROF.270    ,206 ,270 ,lat_esq_metabox_alta.3ds         ,lat_dir_metabox_alta.3ds         ,24 ,$(_corblum:3) ,15   ,20 ,20 ,15   ,206 ,4   ,15 ,15 , , ,230 ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-2.5 ,4   , , ,15 ,20 , ,GV-004_CAI270
      GV-004_CAI350 ,METABOX CUBA ALTA INTERNA PROF.350    ,206 ,350 ,lat_esq_metabox_alta.3ds         ,lat_dir_metabox_alta.3ds         ,24 ,$(_corblum:3) ,15   ,20 ,20 ,15   ,206 ,4   ,15 ,15 , , ,230 ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-2.5 ,4   , , ,15 ,20 , ,GV-004_CAI350
      GV-004_CAI400 ,METABOX CUBA ALTA INTERNA PROF.400    ,206 ,400 ,lat_esq_metabox_alta.3ds         ,lat_dir_metabox_alta.3ds         ,24 ,$(_corblum:3) ,15   ,20 ,20 ,15   ,206 ,4   ,15 ,15 , , ,230 ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-2.5 ,4   , , ,15 ,20 , ,GV-004_CAI400
      GV-004_CAI450 ,METABOX CUBA ALTA INTERNA PROF.450    ,206 ,450 ,lat_esq_metabox_alta.3ds         ,lat_dir_metabox_alta.3ds         ,24 ,$(_corblum:3) ,15   ,20 ,20 ,15   ,206 ,4   ,15 ,15 , , ,230 ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-2.5 ,4   , , ,15 ,20 , ,GV-004_CAI450
      GV-004_CAI500 ,METABOX CUBA ALTA INTERNA PROF.500    ,206 ,500 ,lat_esq_metabox_alta.3ds         ,lat_dir_metabox_alta.3ds         ,24 ,$(_corblum:3) ,15   ,20 ,20 ,15   ,206 ,4   ,15 ,15 , , ,230 ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-2.5 ,4   , , ,15 ,20 , ,GV-004_CAI500
      GV-004_CB270  ,METABOX CUBA BAIXA PROF.270           ,95  ,270 ,lat_esq_metabox_baixa.3ds        ,lat_dir_metabox_baixa.3ds        ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,86  ,1.5 ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,2   , , ,31 ,50 , ,GV-004_CB270
      GV-004_CB350  ,METABOX CUBA BAIXA PROF.350           ,95  ,350 ,lat_esq_metabox_baixa.3ds        ,lat_dir_metabox_baixa.3ds        ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,86  ,1.5 ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,2   , , ,31 ,50 , ,GV-004_CB350
      GV-004_CB400  ,METABOX CUBA BAIXA PROF.400           ,95  ,400 ,lat_esq_metabox_baixa.3ds        ,lat_dir_metabox_baixa.3ds        ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,86  ,1.5 ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,2   , , ,31 ,50 , ,GV-004_CB400
      GV-004_CB450  ,METABOX CUBA BAIXA PROF.450           ,95  ,450 ,lat_esq_metabox_baixa.3ds        ,lat_dir_metabox_baixa.3ds        ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,86  ,1.5 ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,2   , , ,31 ,50 , ,GV-004_CB450
      GV-004_CB500  ,METABOX CUBA BAIXA PROF.500           ,95  ,500 ,lat_esq_metabox_baixa.3ds        ,lat_dir_metabox_baixa.3ds        ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,86  ,1.5 ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,2   , , ,31 ,50 , ,GV-004_CB500
      GV-004_CBI270 ,METABOX CUBA BAIXA INTERNA PROF.270   ,95  ,270 ,lat_esq_metabox_baixa.3ds        ,lat_dir_metabox_baixa.3ds        ,24 ,$(_corblum:3) ,8    ,2  ,2  ,8    ,86  ,1.5 ,15 ,15 , , ,108 ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-2.5 ,2   , , ,31 ,50 , ,GV-004_CBI270
      GV-004_CBI350 ,METABOX CUBA BAIXA INTERNA PROF.350   ,95  ,350 ,lat_esq_metabox_baixa.3ds        ,lat_dir_metabox_baixa.3ds        ,24 ,$(_corblum:3) ,8    ,2  ,2  ,8    ,86  ,1.5 ,15 ,15 , , ,108 ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-2.5 ,2   , , ,31 ,50 , ,GV-004_CBI350
      GV-004_CBI400 ,METABOX CUBA BAIXA INTERNA PROF.400   ,95  ,400 ,lat_esq_metabox_baixa.3ds        ,lat_dir_metabox_baixa.3ds        ,24 ,$(_corblum:3) ,8    ,2  ,2  ,8    ,86  ,1.5 ,15 ,15 , , ,108 ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-2.5 ,2   , , ,31 ,50 , ,GV-004_CBI400
      GV-004_CBI450 ,METABOX CUBA BAIXA INTERNA PROF.450   ,95  ,450 ,lat_esq_metabox_baixa.3ds        ,lat_dir_metabox_baixa.3ds        ,24 ,$(_corblum:3) ,8    ,2  ,2  ,8    ,86  ,1.5 ,15 ,15 , , ,108 ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-2.5 ,2   , , ,31 ,50 , ,GV-004_CBI450
      GV-004_CBI500 ,METABOX CUBA BAIXA INTERNA PROF.500   ,95  ,500 ,lat_esq_metabox_baixa.3ds        ,lat_dir_metabox_baixa.3ds        ,24 ,$(_corblum:3) ,8    ,2  ,2  ,8    ,86  ,1.5 ,15 ,15 , , ,108 ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-2.5 ,2   , , ,31 ,50 , ,GV-004_CBI500
      GV-004_EAM270 ,METABOX EXTERNA ALTA PROF.270         ,206 ,270 ,lat_esq_metabox_alta.3ds         ,lat_dir_metabox_alta.3ds         ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,206 ,1.5 ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,2   , , ,31 ,50 , ,GV-004_EAM270
      GV-004_EAM350 ,METABOX EXTERNA ALTA PROF.350         ,206 ,350 ,lat_esq_metabox_alta.3ds         ,lat_dir_metabox_alta.3ds         ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,206 ,1.5 ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,2   , , ,31 ,50 , ,GV-004_EAM350
      GV-004_EAM400 ,METABOX EXTERNA ALTA PROF.400         ,206 ,400 ,lat_esq_metabox_alta.3ds         ,lat_dir_metabox_alta.3ds         ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,206 ,1.5 ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,2   , , ,31 ,50 , ,GV-004_EAM400
      GV-004_EAM450 ,METABOX EXTERNA ALTA PROF.450         ,206 ,450 ,lat_esq_metabox_alta.3ds         ,lat_dir_metabox_alta.3ds         ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,206 ,1.5 ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,2   , , ,31 ,50 , ,GV-004_EAM450
      GV-004_EAM500 ,METABOX EXTERNA ALTA PROF.500         ,206 ,500 ,lat_esq_metabox_alta.3ds         ,lat_dir_metabox_alta.3ds         ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,206 ,1.5 ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,2   , , ,31 ,50 , ,GV-004_EAM500
      GV-004_EBM270 ,METABOX EXTERNA BAIXA PROF.270        ,95  ,270 ,lat_esq_metabox_baixa.3ds        ,lat_dir_metabox_baixa.3ds        ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,86  ,1.5 ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,2   , , ,31 ,50 , ,GV-004_EBM270
      GV-004_EBM350 ,METABOX EXTERNA BAIXA PROF.350        ,95  ,350 ,lat_esq_metabox_baixa.3ds        ,lat_dir_metabox_baixa.3ds        ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,86  ,1.5 ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,2   , , ,31 ,50 , ,GV-004_EBM350
      GV-004_EBM400 ,METABOX EXTERNA BAIXA PROF.400        ,95  ,400 ,lat_esq_metabox_baixa.3ds        ,lat_dir_metabox_baixa.3ds        ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,86  ,1.5 ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,2   , , ,31 ,50 , ,GV-004_EBM400
      GV-004_EBM450 ,METABOX EXTERNA BAIXA PROF.450        ,95  ,450 ,lat_esq_metabox_baixa.3ds        ,lat_dir_metabox_baixa.3ds        ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,86  ,1.5 ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,2   , , ,31 ,50 , ,GV-004_EBM450
      GV-004_EBM500 ,METABOX EXTERNA BAIXA PROF.500        ,95  ,500 ,lat_esq_metabox_baixa.3ds        ,lat_dir_metabox_baixa.3ds        ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,86  ,1.5 ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,2   , , ,31 ,50 , ,GV-004_EBM500
      GV-004_EXM270 ,METABOX EXTERNA EXTRA ALTA PROF.270   ,325 ,270 ,lat_esq_metabox_extra_alta.3ds   ,lat_dir_metabox_extra_alta.3ds   ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,335 ,1.5 ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,2   , , ,31 ,50 , ,GV-004_EXM270
      GV-004_EXM350 ,METABOX EXTERNA EXTRA ALTA PROF.350   ,325 ,350 ,lat_esq_metabox_extra_alta.3ds   ,lat_dir_metabox_extra_alta.3ds   ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,335 ,1.5 ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,2   , , ,31 ,50 , ,GV-004_EXM350
      GV-004_EXM400 ,METABOX EXTERNA EXTRA ALTA PROF.400   ,325 ,400 ,lat_esq_metabox_extra_alta.3ds   ,lat_dir_metabox_extra_alta.3ds   ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,335 ,1.5 ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,2   , , ,31 ,50 , ,GV-004_EXM400
      GV-004_EXM450 ,METABOX EXTERNA EXTRA ALTA PROF.450   ,325 ,450 ,lat_esq_metabox_extra_alta.3ds   ,lat_dir_metabox_extra_alta.3ds   ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,335 ,1.5 ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,2   , , ,31 ,50 , ,GV-004_EXM450
      GV-004_EXM500 ,METABOX EXTERNA EXTRA ALTA PROF.500   ,325 ,500 ,lat_esq_metabox_extra_alta.3ds   ,lat_dir_metabox_extra_alta.3ds   ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,335 ,1.5 ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-2.5 ,2   , , ,31 ,50 , ,GV-004_EXM500
